study name,study Num,x,y,z,
The-stress-buffering-effect-of-acute-exercise--Evidence,545,20,7,59,
Working-memory-in-middle-aged-males--Age-related-brain-acti_2014_Biological-,579,-6,6,60,
-,538,8,0,63,
Working-memory-in-middle-aged-males--Age-related-brain-acti_2014_Biological-,579,-3,3,63,
-,186,-6,16,64,
Impairment-of-prosocial-sentiments-is-associated-with-frontopolar,274,8,12,68,
-,100,6,18,68,
Working-memory-in-middle-aged-males--Age-related-brain-acti_2014_Biological-,579,-3,3,69,
The-What-and-How-of-prefrontal-cortical-organizat_2010_,550,-,-,-,consider reading it - how and what pathway
The-valuation-system--A-coordinate-based-meta-analysis-o,549,-,-,-,computation of the subjective value 
Triangulating-the-Neural--Psychological--and-Economic-Bases-of-Gu,565,-,-,-,
